bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
8186.999999999999,16,3043,9.6,1825.8,6.4,1217.2,95.095,190.19,38.038000000000004,285.28499999999997,511.68749999999994,153.50624999999997,0.1,8186.999999999999,1,15,0,1,8
8263.0,13,8937,7.8,5362.2,5.2,3574.8,343.73,687.46,137.49200000000002,1031.19,635.6153846153846,190.6846153846154,0.1,8263.0,1,12,0,1,6
992.0,15,3044,9.0,1826.3999999999999,6.0,1217.6000000000001,101.465,202.93,40.586000000000006,304.395,66.13333333333334,19.84,0.1,992.0,1,14,0,1,7
1294.0,14,6910,8.4,4146.0,5.6000000000000005,2764.0,246.785,493.57,98.714,740.355,92.42857142857143,27.728571428571428,0.1,1294.0,1,13,0,1,7
1740.0,20,3734,12.0,2240.4,8.0,1493.6000000000001,93.35,186.7,37.339999999999996,280.04999999999995,87.0,26.099999999999998,0.1,1740.0,1,19,0,1,10
1864.0,21,7954,12.6,4772.4,8.4,3181.6000000000004,189.38,378.76,75.752,568.14,88.76190476190476,26.628571428571426,0.1,1864.0,1,20,0,1,10
1289.0,15,2935,9.0,1761.0,6.0,1174.0,97.835,195.67,39.134,293.505,85.93333333333334,25.78,0.1,1289.0,1,14,0,1,7
1.0,1,99,0.6,59.4,0.4,39.6,49.5,99.0,19.8,148.5,1.0,0.3,0.1,1.0,0,0,0,0,0
3.0,2,500,1.2,300.0,0.8,200.0,125.0,250.0,50.0,375.0,1.5,0.44999999999999996,0.1,3.0,0,1,0,0,1
913.0,12,2785,7.199999999999999,1671.0,4.800000000000001,1114.0,116.04,232.08,46.416000000000004,348.12,76.08333333333333,22.825,0.1,913.0,1,11,0,1,6
